Game,Set Released At,Set Name,Set Code,Item Name,Price in USD Cents,Quantity,Condition,Language,Foil/Reverse,Signed,Altered,First Edition,Playset,Collector Number
Magic: the Gathering,2024-06-14,Modern Horizons 3,MH3,Foreboding Landscape,20,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,221
Magic: the Gathering,2024-06-14,Commander: Modern Horizons 3,M3C,Growth Spiral,48,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,265
Magic: the Gathering,2024-02-09,Commander: Murders at Karlov Manor,MKC,Enhanced Surveillance,14,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,102
Magic: the Gathering,2024-02-09,Murders at Karlov Manor,MKM,Demand Answers,24,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,122
Magic: the Gathering,2023-10-13,Universes Beyond: Doctor Who,WHO,Run for Your Life,42,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,154
Magic: the Gathering,2023-04-21,March of the Machine Promos,PMOM,Yargle and Multani,62,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,256
Magic: the Gathering,2023-01-13,Dominaria Remastered,DMR,"Tatyova, Benthic Druid",20,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,203
Magic: the Gathering,2022-11-18,The Brothers' War,BRO,Penregon Strongbull,14,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,147
Magic: the Gathering,2022-09-09,Dominaria United Collectors,CDMU,"Uurg, Spawn of Turg (Textured Foil)",23,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,365
Magic: the Gathering,2022-06-10,Commander Legends: Battle for Baldur's Gate,CLB,Githzerai Monk,20,1,Slightly Played,en,TRUE,FALSE,FALSE,,FALSE,20
Magic: the Gathering,2022-06-10,Commander Legends: Battle for Baldur's Gate,CLB,Ingenious Artillerist,68,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,182
Magic: the Gathering,2022-06-10,Commander Legends: Battle for Baldur's Gate Collectors,CCLB,Guild Artisan (Etched Foil),28,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,505
Magic: the Gathering,2022-06-10,Commander Legends: Battle for Baldur's Gate Collectors,CCLB,Street Urchin (Etched Foil),14,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,510
Magic: the Gathering,2022-06-10,Commander Legends: Battle for Baldur's Gate Collectors,CCLB,Street Urchin (Etched Foil),14,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,510
Magic: the Gathering,2022-01-28,Innistrad: Double Feature,IDF,Lambholt Raconteur // Lambholt Ravager,46,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,434
Magic: the Gathering,2021-11-19,Innistrad: Crimson Vow,VOW,"Grolnok, the Omnivore",26,1,Slightly Played,en,TRUE,FALSE,FALSE,,FALSE,238
Magic: the Gathering,2021-09-24,Innistrad: Midnight Hunt,MID,Croaking Counterpart,48,1,Slightly Played,en,TRUE,FALSE,FALSE,,FALSE,215
Magic: the Gathering,2021-07-23,D&D: Adventures in the Forgotten Realms,AFR,You See a Guard Approach,21,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,085
Magic: the Gathering,2021-07-23,D&D: Adventures in the Forgotten Realms Collectors,CAFR,Froghemoth (Extended Art),76,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,384
Magic: the Gathering,2020-09-25,Zendikar Rising,ZNR,Deliberate,17,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,056
Magic: the Gathering,2020-08-06,Double Masters,2XM,Frogify,16,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,052
Magic: the Gathering,2019-06-08,Modern Horizons,MH1,Spore Frog,0,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,180
Magic: the Gathering,2018-10-03,Guilds of Ravnica,GRN,Disinformation Campaign,63,1,Moderately Played,en,TRUE,FALSE,FALSE,,FALSE,167
Magic: the Gathering,2017-09-29,Ixalan,XLN,Dive Down,12,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,53
Magic: the Gathering,2015-07-16,Magic Origins,ORI,Turn to Frog,32,1,Slightly Played,en,TRUE,FALSE,FALSE,,FALSE,81
Magic: the Gathering,2014-09-25,Khans of Tarkir,KTK,Opulent Palace,35,1,Moderately Played,en,FALSE,FALSE,FALSE,,FALSE,238
Magic: the Gathering,2010-04-21,Rise of the Eldrazi,ROE,Haze Frog,21,1,Moderately Played,en,FALSE,FALSE,FALSE,,FALSE,187
